city_prefix;city_val;district_prefix;district_val;street;street_prefix;street_val
tinh;Long An;huyen;Tân Trụ;Tỉnh lộ Cai Tài;tinh lo;Cai Tài
tinh;Khánh Hòa;thi xa;Ninh Hòa;Quốc Lộ 26B-1B;quoc lo;26B-1B
tinh;Long An;huyen;Đức Hòa;Tỉnh Lộ Sa Bà;tinh lo;Sa Bà
tinh;Bình Dương;thi xa;Bến Cát;Quốc Lộ ĐT 7A;quoc lo;ĐT 7A
tinh;Thái Nguyên;huyen;Định Hóa;Tỉnh lộ 264B;tinh lo;264B
tinh;Thái Nguyên;huyen;Phú Bình;Tỉnh lộ 261C;tinh lo;261C
tinh;Thái Nguyên;huyen;Phú Bình;Tỉnh lộ 269B;tinh lo;269B
tinh;Tiền Giang;huyen;Chợ Gạo;Tỉnh lộ 878B;tinh lo;878B
tinh;Tiền Giang;huyen;Chợ Gạo;Tỉnh lộ 879C;tinh lo;879C
tinh;Tiền Giang;thanh pho;Mỹ Tho;Tỉnh Lộ 870A;tinh lo;870A
tinh;Tiền Giang;thanh pho;Mỹ Tho;Tỉnh lộ 870B;tinh lo;870B
tinh;Tiền Giang;thanh pho;Mỹ Tho;Tỉnh lộ 879B;tinh lo;879B
tinh;Tiền Giang;huyen;Tân Phú Đông;Tỉnh lộ 877B;tinh lo;877B
tinh;Tiền Giang;huyen;Tân Phước;Tỉnh lộ 866B;tinh lo;866B
tinh;Long An;huyen;Bến Lức;Tỉnh lộ 635B;tinh lo;635B
tinh;Long An;huyen;Bến Lức;Tỉnh lộ 833C;tinh lo;833C
tinh;Long An;huyen;Cần Đước;Quốc Lộ 833B;quoc lo;833B
tinh;Long An;huyen;Cần Đước;Tỉnh Lộ 825A;tinh lo;825A
tinh;Long An;huyen;Cần Đước;Tỉnh lộ 825D;tinh lo;825D
tinh;Long An;huyen;Cần Giuộc;Quốc Lộ 835B;quoc lo;835B
tinh;Long An;huyen;Cần Giuộc;Tỉnh Lộ 825B;tinh lo;825B
tinh;Long An;huyen;Cần Giuộc;Tỉnh Lộ 826B;tinh lo;826B
tinh;Long An;huyen;Cần Giuộc;Tỉnh Lộ 826C;tinh lo;826C
tinh;Long An;huyen;Cần Giuộc;Tỉnh lộ 835A;tinh lo;835A
tinh;Long An;huyen;Cần Giuộc;Tỉnh lộ 845B;tinh lo;845B
tinh;Long An;huyen;Châu Thành;Tỉnh lộ 827B;tinh lo;827B
tinh;Long An;huyen;Đức Huệ;Tỉnh Lộ 838B;tinh lo;838B
tinh;Long An;thanh pho;Tân An;Tỉnh lộ 827A;tinh lo;827A
tinh;Long An;huyen;Tân Trụ;Tỉnh lộ 832C;tinh lo;832C
tinh;Long An;huyen;Tân Trụ;Tỉnh Lộ 833D;tinh lo;833D
thanh pho;Hà Nội;huyen;Ba Vì;Tỉnh Lộ 411B;tinh lo;411B
thanh pho;Hà Nội;huyen;Ba Vì;Tỉnh Lộ 411C;tinh lo;411C
thanh pho;Hà Nội;huyen;Hoài Đức;Tỉnh Lộ 422B;tinh lo;422B
thanh pho;Hà Nội;huyen;Quốc Oai;Tỉnh Lộ 421B;tinh lo;421B
tinh;Hà Nam;huyen;Duy Tiên;Tỉnh lộ 9710;tinh lo;9710
tinh;Hà Nam;huyen;Duy Tiên;Tỉnh lộ 9711;tinh lo;9711
tinh;Hà Nam;huyen;Lý Nhân;Tỉnh lộ 9716;tinh lo;9716
tinh;Hà Nam;huyen;Lý Nhân;Tỉnh lộ 9717;tinh lo;9717
tinh;Đồng Nai;thanh pho;Biên Hòa;Tỉnh lộ 768B;tinh lo;768B
tinh;Đồng Nai;huyen;Cẩm Mỹ;Tỉnh lộ 765B;tinh lo;765B
tinh;Đồng Nai;quan;Tân Phú;Tỉnh lộ 600A;tinh lo;600A
tinh;Bình Thuận;thanh pho;Phan Thiết;Tỉnh lộ 706B;tinh lo;706B
tinh;Thanh Hóa;huyen;Hoằng Hóa;Tỉnh lộ 510B;tinh lo;510B
tinh;Thanh Hóa;huyen;Thạch Thành;Tỉnh lộ 516B;tinh lo;516B
tinh;Vĩnh Phúc;huyen;Tam Dương;Tỉnh Lộ 309B;tinh lo;309B
tinh;Lạng Sơn;huyen;Văn Quan;Tỉnh lộ 235C;tinh lo;235C
tinh;Đồng Tháp;huyen;Lấp Vò;Tỉnh Lộ 852B;tinh lo;852B
tinh;Tây Ninh;huyen;Trảng Bàng;Tỉnh lộ 787A;tinh lo;787A
tinh;Tây Ninh;huyen;Trảng Bàng;Tỉnh lộ 787B;tinh lo;787B
tinh;Bình Dương;thi xa;Dĩ An;Quốc Lộ 743B;quoc lo;743B
tinh;Bình Dương;thi xa;Dĩ An;Tỉnh lộ 743C;tinh lo;743C
tinh;Bình Dương;huyen;Tân Uyên;Tỉnh Lộ 747B;tinh lo;747B
tinh;Bình Dương;huyen;Thuận An;Tỉnh lộ 743A;tinh lo;743A
tinh;Bình Dương;huyen;Thuận An;Tỉnh lộ 743B;tinh lo;743B
tinh;Sóc Trăng;huyen;Châu Thành;Tỉnh lộ 939B;tinh lo;939B
tinh;Sóc Trăng;huyen;Cù Lao Dung;Tỉnh lộ 933B;tinh lo;933B
tinh;Sóc Trăng;huyen;Kế Sách;Tỉnh lộ 932B;tinh lo;932B
tinh;Sóc Trăng;huyen;Mỹ Xuyên;Tỉnh lộ 936B;tinh lo;936B
tinh;Sóc Trăng;huyen;Thạnh Trị;Tỉnh lộ 937B;tinh lo;937B
tinh;Bà Rịa Vũng Tàu;thi xa;Phú Mỹ;Quốc Lộ 991B;quoc lo;991B
tinh;Khánh Hòa;thi xa;Ninh Hòa;Tỉnh lộ 652B;tinh lo;652B
tinh;Khánh Hòa;thi xa;Ninh Hòa;Tỉnh lộ 652D;tinh lo;652D
tinh;Khánh Hòa;huyen;Vạn Ninh;Tỉnh lộ 651E;tinh lo;651E
tinh;Bắc Giang;huyen;Việt Yên;Tỉnh Lộ 295B;tinh lo;295B
tinh;An Giang;huyen;Tri Tôn;Tỉnh lộ 955B;tinh lo;955B
tinh;Đắk Lắk;thanh pho;Buôn Ma Thuột;Quốc lộ 687B;quoc lo;687B
tinh;Quảng Ngãi;huyen;Nghĩa Hành;Tỉnh lộ 624B;tinh lo;624B
tinh;Quảng Ngãi;huyen;Tư Nghĩa;Tỉnh lộ 623B;tinh lo;623B
tinh;Quảng Ngãi;huyen;Tư Nghĩa;Tỉnh lộ 623C;tinh lo;623C
