city,district,ward,city_prefix,city_val,district_prefix,district_val,ward_prefix,ward_val
Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,thanh pho,Hà Nội,quan,Ba Đình,phuong,Phúc Xá
Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,thanh pho,Hà Nội,quan,Ba Đình,phuong,Trúc Bạch
Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,thanh pho,Hà Nội,quan,Ba Đình,phuong,Vĩnh Phúc
Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,thanh pho,Hà Nội,quan,Ba Đình,phuong,Cống Vị
Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,thanh pho,Hà Nội,quan,Ba Đình,phuong,Liễu Giai
Thành phố Hà Nội,Quận Ba Đình,Phường Nguyễn Trung Trực,thanh pho,Hà Nội,quan,Ba Đình,phuong,Nguyễn Trung Trực
Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,thanh pho,Hà Nội,quan,Ba Đình,phuong,Quán Thánh
Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,thanh pho,Hà Nội,quan,Ba Đình,phuong,Ngọc Hà
Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,thanh pho,Hà Nội,quan,Ba Đình,phuong,Điện Biên
Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,thanh pho,Hà Nội,quan,Ba Đình,phuong,Đội Cấn
Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,thanh pho,Hà Nội,quan,Ba Đình,phuong,Ngọc Khánh
Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,thanh pho,Hà Nội,quan,Ba Đình,phuong,Kim Mã
Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,thanh pho,Hà Nội,quan,Ba Đình,phuong,Giảng Võ
Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,thanh pho,Hà Nội,quan,Ba Đình,phuong,Thành Công
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Phúc Tân
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Đồng Xuân
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Hàng Mã
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Hàng Buồm
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Hàng Đào
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Hàng Bồ
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Cửa Đông
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Lý Thái Tổ
Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,thanh pho,Hà Nội,quan,Hoàn Kiếm,phuong,Hàng Bạc
