SG	tp-hcm
HN	ha-noi
BD	binh-duong
DDN	da-nang
HP	hai-phong
LA	long-an
VT	ba-ria-vung-tau
AG	an-giang
BG	bac-giang
BK	bac-kan
BL	bac-lieu
BN	bac-ninh
BTR	ben-tre
BDD	binh-dinh
BP	binh-phuoc
BTH	binh-thuan
CM	ca-mau
CT	can-tho
CB	cao-bang
DDL	dak-lak
DNO	dak-nong
DDB	dien-bien
DNA	dong-nai
DDT	dong-thap
GL	gia-lai
HG	ha-giang
HNA	ha-nam
HT	ha-tinh
HD	hai-duong
HGI	hau-giang
HB	hoa-binh
HY	hung-yen
KH	khanh-hoa
KG	kien-giang
KT	kon-tum
LCH	lai-chau
LDD	lam-dong
LS	lang-son
LCA	lao-cai
NDD	nam-dinh
NA	nghe-an
NB	ninh-binh
NT	ninh-thuan
PT	phu-tho
PY	phu-yen
QB	quang-binh
QNA	quang-nam
QNG	quang-ngai
QNI	quang-ninh
QT	quang-tri
ST	soc-trang
SL	son-la
TNI	tay-ninh
TB	thai-binh
TN	thai-nguyen
TH	thanh-hoa
TTH	thua-thien-hue
TG	tien-giang
TV	tra-vinh
TQ	tuyen-quang
VL	vinh-long
VP	vinh-phuc
YB	yen-bai
